date,pcr
2019-03-28,1.3105
2019-03-29,1.1658
2019-04-01,1.0868
2019-04-02,1.1143
2019-04-03,0.9679
2019-04-04,1.0717
2019-04-05,1.1218
2019-04-08,0.9384
2019-04-09,1.0787
2019-04-10,0.8906
2019-04-11,1.0089
2019-04-12,1.0723
2019-04-15,1.1008
2019-04-16,1.2602
2019-04-18,1.0952
2019-04-22,0.8923
2019-04-23,0.8536
2019-04-24,1.0756
2019-04-25,1.2076
2019-04-26,1.3103
2019-04-30,1.0742
2019-05-02,1.1131
2019-05-03,1.1185
2019-05-06,0.9913
2019-05-07,0.8136
2019-05-08,0.7598
2019-05-09,1.0069
2019-05-10,0.9662
2019-05-13,0.8699
2019-05-14,0.9743
2019-05-15,0.8295
2019-05-16,1.0392
2019-05-17,1.0082
2019-05-20,1.0118
2019-05-21,0.9539
2019-05-22,0.9386
2019-05-23,0.837
2019-05-24,0.9997
2019-05-27,1.0706
2019-05-28,1.069
2019-05-29,0.9125
2019-05-30,1.2844
2019-05-31,1.0667
2019-06-03,1.3345
2019-06-04,1.1795
2019-06-06,0.9586
2019-06-07,0.9848
2019-06-10,0.9541
2019-06-11,1.121
2019-06-12,0.9667
2019-06-13,1.0141
2019-06-14,0.8518
2019-06-17,0.7576
2019-06-18,0.8036
2019-06-19,0.8055
2019-06-20,1.1096
2019-06-21,0.9963
2019-06-24,0.9705
2019-06-25,1.1483
2019-06-26,1.2857
2019-06-27,1.2314
2019-06-28,1.01
2019-07-01,1.1101
2019-07-02,1.0797
2019-07-03,1.0697
2019-07-04,1.0097
2019-07-05,0.8643
2019-07-08,0.6952
2019-07-09,0.7237
2019-07-10,0.6836
2019-07-11,0.9374
2019-07-12,0.8719
2019-07-15,0.8534
2019-07-16,0.9506
2019-07-17,1.0162
2019-07-18,0.8658
2019-07-19,0.747
2019-07-22,0.7458
2019-07-23,0.7403
2019-07-24,0.7184
2019-07-25,1.1514
2019-07-26,1.1816
2019-07-29,0.9918
2019-07-30,0.7875
2019-07-31,0.8855
2019-08-01,0.8879
2019-08-02,0.9234
2019-08-05,0.788
2019-08-06,0.9066
2019-08-07,0.7595
2019-08-08,0.952
2019-08-09,0.9864
2019-08-13,0.7314
2019-08-14,0.9101
2019-08-16,0.9724
2019-08-19,0.9296
2019-08-20,0.8726
2019-08-21,0.744
2019-08-22,0.7458
2019-08-23,0.7916
2019-08-26,0.9918
2019-08-27,1.0039
2019-08-28,0.8783
2019-08-29,0.7545
2019-08-30,1.0566
2019-09-03,0.7901
2019-09-04,0.8989
2019-09-05,0.9757
2019-09-06,1.0481
2019-09-09,1.1636
2019-09-11,1.2027
2019-09-12,1.0331
2019-09-13,1.1476
2019-09-16,0.9792
2019-09-17,0.7777
2019-09-18,0.8001
2019-09-19,0.8132
2019-09-20,1.2067
2019-09-23,1.2716
2019-09-24,1.1813
2019-09-25,1.0189
2019-09-26,1.1652
2019-09-27,1.0121
2019-09-30,0.857
2019-10-01,0.7385
2019-10-03,0.9452
2019-10-04,0.7759
2019-10-07,0.7922
2019-10-09,1.0341
2019-10-10,0.9146
2019-10-11,0.8794
2019-10-14,0.926
2019-10-15,1.0532
2019-10-16,1.0079
2019-10-17,1.085
2019-10-18,1.1177
2019-10-22,1.0494
2019-10-23,1.0305
2019-10-24,0.9437
2019-10-25,0.9755
2019-10-29,1.2313
2019-10-30,1.2359
2019-10-31,1.1962
2019-11-01,1.2101
2019-11-04,1.1451
2019-11-05,1.064
2019-11-06,1.2284
2019-11-07,1.0903
2019-11-08,1.0486
2019-11-11,1.1207
2019-11-13,0.8501
2019-11-14,1.0006
2019-11-15,1.0596
2019-11-18,1.0013
2019-11-19,1.1284
2019-11-20,1.1711
2019-11-21,1.0526
2019-11-22,0.959
2019-11-25,1.2355
2019-11-26,1.2077
2019-11-27,1.3154
2019-11-28,1.4244
2019-11-29,1.1907
2019-12-02,1.1266
2019-12-03,0.9853
2019-12-04,1.1667
2019-12-05,1.0686
2019-12-06,0.8987
2019-12-09,0.9467
2019-12-10,0.8753
2019-12-11,0.8995
2019-12-12,1.1141
2019-12-13,1.1973
2019-12-16,1.0973
2019-12-17,1.2164
2019-12-18,1.291
2019-12-19,1.2095
2019-12-20,1.248
2019-12-23,1.2131
2019-12-24,1.1632
2019-12-26,1.1766
2019-12-27,1.3353
2019-12-30,1.1572
2019-12-31,0.9616
2020-01-01,0.9353
2020-01-02,1.2174
2020-01-03,1.0743
2020-01-06,0.9025
2020-01-07,0.9423
2020-01-08,1.0638
2020-01-09,1.2858
2020-01-10,1.2161
2020-01-13,1.2363
2020-01-14,1.2275
2020-01-15,1.078
2020-01-16,1.1111
2020-01-17,1.0541
2020-01-20,0.8144
2020-01-21,0.8101
2020-01-22,0.7523
2020-01-23,0.9652
2020-01-24,1.0952
2020-01-27,0.8534
2020-01-28,0.7938
2020-01-29,0.8979
2020-01-30,1.0881
2020-01-31,0.927
2020-02-03,0.8034
2020-02-04,1.0482
2020-02-05,1.1501
2020-02-06,1.142
2020-02-07,1.1116
2020-02-10,1.0349
2020-02-11,1.1076
2020-02-12,1.2189
2020-02-13,1.0196
2020-02-14,0.8883
2020-02-17,0.8029
2020-02-18,0.7945
2020-02-19,0.9743
2020-02-20,1.0113
2020-02-24,0.839
2020-02-25,0.8288
2020-02-26,0.8245
2020-02-27,1.151
2020-02-28,0.9039
2020-03-02,0.9202
2020-03-03,1.0106
2020-03-04,0.903
2020-03-05,1.116
2020-03-06,0.9726
2020-03-09,0.8125
2020-03-11,0.8448
2020-03-12,0.8714
2020-03-13,0.8768
2020-03-16,0.745
2020-03-17,0.7566
2020-03-18,0.7057
2020-03-19,0.8677
2020-03-20,0.8965
2020-03-23,0.7551
2020-03-24,0.8227
2020-03-25,0.9709
2020-03-26,1.2881
2020-03-27,1.0713
2020-03-30,0.9456
2020-03-31,1.0219
2020-04-01,1.0892
2020-04-03,0.9805
2020-04-07,1.2933
2020-04-08,1.1378
2020-04-09,1.2653
2020-04-13,1.1793
2020-04-15,1.0412
2020-04-16,1.1768
2020-04-17,1.1812
2020-04-20,1.1135
2020-04-21,0.9468
2020-04-22,1.0503
2020-04-23,1.161
2020-04-24,1.0591
2020-04-27,1.0887
2020-04-28,1.2173
2020-04-29,1.2861
2020-04-30,1.4617
2020-05-04,1.0356
2020-05-05,0.9164
2020-05-06,1.0151
2020-05-07,1.0752
2020-05-08,0.9775
2020-05-11,0.9184
2020-05-12,0.9228
2020-05-13,0.8789
2020-05-14,0.8919
2020-05-15,0.8273
2020-05-18,0.6973
2020-05-19,0.767
2020-05-20,0.8682
2020-05-21,0.9027
2020-05-22,0.8427
2020-05-26,0.8182
2020-05-27,1.196
2020-05-28,1.2886
2020-05-29,1.3309
2020-06-01,1.2374
2020-06-02,1.3077
2020-06-03,1.2576
2020-06-04,1.1526
2020-06-05,1.1756
2020-06-08,1.0633
2020-06-09,0.9733
2020-06-10,1.0837
2020-06-11,1.047
2020-06-12,1.1062
2020-06-15,1.0128
2020-06-16,0.9915
2020-06-17,0.9946
2020-06-18,1.1422
2020-06-19,1.1894
2020-06-22,1.2054
2020-06-23,1.2822
2020-06-24,0.9839
